anio,mes,sentido,total_veh_pagan,total_veh_exon,total_veh_eva
"2019","1","1","2097","1","0"
"2019","1","0","1320","7","0"
"2019","1","1","1429","6","0"
"2019","1","0","3370","7","0"
"2019","1","1","3066","6","0"
"2019","1","0","574","17","0"
"2019","1","1","525","19","0"
"2019","1","0","1665","13","0"
"2019","1","1","1598","12","0"
"2019","1","0","0","4080","0"
"2019","1","0","447","19","0"
"2019","1","1","347","22","0"
"2019","1","0","842","9","0"
"2019","1","1","829","13","0"
"2019","1","0","1925","15","0"
"2019","1","1","1887","16","0"
"2019","1","0","801","13","0"
"2019","1","1","0","781","0"
"2019","1","0","792","11","0"
"2019","1","1","773","13","0"
"2019","1","0","613","13","0"
"2019","1","1","571","12","0"
"2019","1","0","0","1403","0"
"2019","1","1","1388","17","0"
"2019","1","0","268","5","0"
"2019","1","1","241","4","0"
"2019","1","0","2457","21","0"
"2019","1","1","2715","18","0"
"2019","1","0","4149","30","0"
"2019","1","1","4381","27","0"
"2019","1","0","2332","15","0"
"2019","1","1","2256","18","0"
"2019","1","0","1355","14","0"
"2019","1","0","1698","24","0"
"2019","1","0","3042","11","0"
"2019","1","1","3289","8","0"
"2019","1","0","2724","25","0"
"2019","1","1","3021","25","0"
"2019","1","0","4874","23","0"
"2019","1","1","4970","34","0"
"2019","1","0","3588","36","0"
"2019","1","0","5657","55","0"
"2019","1","1","5821","56","0"
"2019","1","0","2591","35","0"
"2019","1","1","2588","31","0"
"2019","1","0","6234","134","0"
"2019","1","1","6192","135","0"
"2019","1","0","17736","104","0"
"2019","1","0","4583","47","0"
"2019","1","1","5380","52","0"
"2019","1","0","424","7","0"
"2019","1","1","0","6","0"
"2019","1","0","1592","5","0"
"2019","1","0","598","7","0"
"2019","1","0","709","18","0"
"2019","1","0","1127","19","0"
"2019","1","0","500","2","0"
"2019","1","0","1619","14","0"
"2019","1","0","5546","45","0"
"2019","1","1","5771","45","0"
"2019","1","0","1776","9","0"
"2019","1","0","3163","12","0"
"2019","1","1","3691","16","0"
"2019","1","0","4063","32","0"
"2019","1","1","4422","23","0"
"2019","1","0","1058","4","0"
"2019","1","1","1197","4","0"
"2019","1","1","484","3","0"
"2019","1","0","300","4","0"
"2019","1","1","368","5","0"
"2019","1","0","579","9","0"
"2019","1","1","647","10","0"
"2019","1","0","679","3","0"
"2019","1","1","719","2","0"
"2019","1","2","801","0","0"
"2019","1","0","416","0","0"
"2019","1","1","385","0","0"
"2019","1","2","987","9","0"
"2019","1","0","503","2","0"
"2019","1","1","484","7","0"
"2019","1","2","387","6","0"
"2019","1","0","207","3","0"
"2019","1","1","180","3","0"
"2019","1","2","1454","10","0"
"2019","1","0","707","7","0"
"2019","1","1","747","3","0"
"2019","1","0","253","7","0"
"2019","1","1","229","6","0"
"2019","1","0","599","12","0"
"2019","1","1","619","10","0"
"2019","1","0","273","7","0"
"2019","1","1","275","6","0"
"2019","1","0","3961","23","1"
