id,cod_enti," cod_ubi_inei",cod_pais ,uo_nombre ,fecha,CO,H2S,NO2,O3,PM10,PM2,SO2,Ruido,UV,Humedad,Latitud,Longitud,Presion,Temperatura
627,10069,150122,PE,Subgerencia de Desarrollo Ambiental,27/10/2020 15:00,0.00,0.00,81.67,0.00,30.15,9.10,8.06,100.71,1.37,91.86,-12.11,-77.05,100587.59,17.73
17,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 16:00,0.00,0.00,89.39,0.00,63.51,11.40,7.97,110.85,0.84,86.47,-12.11,-77.05,100477.12,18.35
152,10069,150122,PE,Subgerencia de Desarrollo Ambiental,07/10/2020 14:00,0.00,0.00,68.39,0.70,27.94,9.42,8.12,99.37,1.83,88.75,-12.11,-77.05,100604.88,17.76
11,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 10:00,0.00,0.00,30.27,0.00,24.07,8.17,8.42,97.53,4.54,95.15,-12.11,-77.05,100776.10,17.24
38,10069,150122,PE,Subgerencia de Desarrollo Ambiental,02/10/2020 13:00,0.00,0.00,13.56,0.42,25.37,9.21,8.56,99.63,2.34,88.82,-12.11,-77.05,100689.77,18.59
565,10069,150122,PE,Subgerencia de Desarrollo Ambiental,25/10/2020 1:00,0.00,0.00,89.53,0.00,43.63,10.15,7.18,80.17,0.00,96.27,-12.11,-77.05,100739.42,16.35
307,10069,150122,PE,Subgerencia de Desarrollo Ambiental,14/10/2020 7:00,0.00,0.00,105.92,0.00,47.27,11.12,7.29,104.87,0.11,97.33,-12.11,-77.05,100593.92,15.85
140,10069,150122,PE,Subgerencia de Desarrollo Ambiental,07/10/2020 2:00,0.00,0.00,85.49,0.00,57.55,10.84,7.17,85.49,0.00,96.76,-12.11,-77.05,100678.63,16.12
622,10069,150122,PE,Subgerencia de Desarrollo Ambiental,27/10/2020 10:00,0.00,0.00,69.95,0.00,43.68,11.55,7.70,97.23,1.15,96.10,-12.11,-77.05,100807.82,16.57
358,10069,150122,PE,Subgerencia de Desarrollo Ambiental,16/10/2020 10:00,0.00,0.00,56.40,0.00,49.57,15.94,8.11,96.78,1.29,91.16,-12.11,-77.05,100642.18,18.41
412,10069,150122,PE,Subgerencia de Desarrollo Ambiental,18/10/2020 16:00,0.00,0.00,68.38,0.00,60.89,10.06,8.45,94.02,0.41,80.67,-12.11,-77.05,100589.16,20.06
599,10069,150122,PE,Subgerencia de Desarrollo Ambiental,26/10/2020 11:00,0.00,0.00,33.74,0.12,44.14,17.08,8.27,99.30,2.35,94.22,-12.11,-77.05,100776.25,17.37
571,10069,150122,PE,Subgerencia de Desarrollo Ambiental,25/10/2020 7:00,0.00,0.00,97.63,0.00,37.06,17.62,7.27,84.51,0.16,98.38,-12.11,-77.05,100711.41,15.90
676,10069,150122,PE,Subgerencia de Desarrollo Ambiental,29/10/2020 16:00,0.00,0.00,97.82,0.00,27.59,8.28,8.04,102.53,0.93,88.58,-12.11,-77.05,1005.52,17.94
207,10069,150122,PE,Subgerencia de Desarrollo Ambiental,10/10/2020 3:00,0.00,0.00,87.99,0.00,91.05,14.81,7.20,79.21,0.00,93.52,-12.11,-77.05,100784.75,16.20
348,10069,150122,PE,Subgerencia de Desarrollo Ambiental,16/10/2020 0:00,0.00,0.00,94.61,0.00,238.06,31.07,7.23,84.38,0.00,95.86,-12.11,-77.05,100591.72,16.48
616,10069,150122,PE,Subgerencia de Desarrollo Ambiental,27/10/2020 4:00,0.00,0.00,87.32,0.00,55.99,12.32,7.17,66.48,0.00,99.02,-12.11,-77.05,100564.28,15.36
19,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 18:00,0.17,0.00,118.15,0.00,84.30,13.88,7.31,109.92,0.03,92.59,-12.11,-77.05,100489.01,16.80
372,10069,150122,PE,Subgerencia de Desarrollo Ambiental,17/10/2020 0:00,0.00,0.00,90.36,0.00,254.59,30.37,7.24,80.38,0.00,95.74,-12.11,-77.05,100604.78,16.54
458,10069,150122,PE,Subgerencia de Desarrollo Ambiental,20/10/2020 14:00,0.00,0.00,21.89,4.14,34.55,9.62,8.94,104.47,1.06,71.16,-12.11,-77.05,100573.68,21.92
674,10069,150122,PE,Subgerencia de Desarrollo Ambiental,29/10/2020 14:00,0.00,0.00,70.86,0.00,28.15,8.25,8.35,103.43,1.87,83.51,-12.11,-77.05,1006.39,18.90
715,10069,150122,PE,Subgerencia de Desarrollo Ambiental,31/10/2020 7:00,0.00,0.00,95.56,0.00,92.78,14.30,7.21,96.72,0.09,98.16,-12.11,-77.05,1007.62,15.64
493,10069,150122,PE,Subgerencia de Desarrollo Ambiental,22/10/2020 1:00,0.00,0.00,91.83,0.00,94.42,20.99,7.19,93.20,0.00,96.50,-12.11,-77.05,100549.00,15.96
328,10069,150122,PE,Subgerencia de Desarrollo Ambiental,15/10/2020 4:00,0.00,0.00,95.32,0.00,478.16,57.06,7.23,77.56,0.00,98.47,-12.11,-77.05,100379.70,15.47
284,10069,150122,PE,Subgerencia de Desarrollo Ambiental,13/10/2020 8:00,19.29,0.00,97.17,0.00,49.27,11.71,7.27,100.99,0.23,98.79,-12.11,-77.05,100689.15,16.01
344,10069,150122,PE,Subgerencia de Desarrollo Ambiental,15/10/2020 20:00,0.61,0.00,123.75,0.00,77.04,13.86,7.42,99.98,0.00,92.67,-12.11,-77.05,100554.48,17.33
641,10069,150122,PE,Subgerencia de Desarrollo Ambiental,28/10/2020 5:00,0.00,0.00,83.97,0.00,28.68,8.42,7.19,68.14,0.00,97.14,-12.11,-77.05,100758.07,15.74
48,10069,150122,PE,Subgerencia de Desarrollo Ambiental,02/10/2020 23:00,0.00,0.00,98.32,0.00,187.09,27.75,7.24,92.50,0.00,97.48,-12.11,-77.05,100775.61,16.36
610,10069,150122,PE,Subgerencia de Desarrollo Ambiental,26/10/2020 22:00,0.00,0.00,107.98,0.00,65.92,12.21,7.21,103.00,0.00,95.06,-12.11,-77.05,100743.41,16.24
625,10069,150122,PE,Subgerencia de Desarrollo Ambiental,27/10/2020 13:00,0.00,0.00,50.82,0.00,38.07,12.16,8.24,100.73,2.06,91.27,-12.11,-77.05,100705.05,17.68
235,10069,150122,PE,Subgerencia de Desarrollo Ambiental,11/10/2020 7:00,0.00,0.00,94.46,0.00,65.68,17.90,7.34,82.53,0.51,99.30,-12.11,-77.05,100673.22,15.72
269,10069,150122,PE,Subgerencia de Desarrollo Ambiental,12/10/2020 17:00,0.00,0.00,102.90,0.00,50.32,11.70,7.64,98.37,0.38,90.23,-12.11,-77.05,100427.81,17.61
43,10069,150122,PE,Subgerencia de Desarrollo Ambiental,02/10/2020 18:00,3.38,0.00,115.42,0.00,91.36,18.71,7.44,102.49,0.02,93.46,-12.11,-77.05,100624.67,17.02
229,10069,150122,PE,Subgerencia de Desarrollo Ambiental,11/10/2020 1:00,0.00,0.00,91.90,0.00,67.25,14.45,7.26,73.10,0.00,96.06,-12.11,-77.05,100719.64,16.41
79,10069,150122,PE,Subgerencia de Desarrollo Ambiental,04/10/2020 8:00,0.00,0.00,85.45,0.00,135.71,33.86,7.25,87.20,0.21,98.83,-12.11,-77.05,100772.77,15.77
82,10069,150122,PE,Subgerencia de Desarrollo Ambiental,04/10/2020 11:00,0.00,0.00,74.56,0.00,80.11,18.40,7.22,88.28,0.37,98.72,-12.11,-77.05,100758.81,15.70
567,10069,150122,PE,Subgerencia de Desarrollo Ambiental,25/10/2020 3:00,0.00,0.00,87.02,0.00,27.26,8.59,7.19,73.88,0.00,97.41,-12.11,-77.05,100621.06,15.89
96,10069,150122,PE,Subgerencia de Desarrollo Ambiental,05/10/2020 1:00,0.00,0.00,90.82,0.00,175.30,21.62,7.15,70.98,0.00,99.30,-12.11,-77.05,100770.45,15.06
66,10069,150122,PE,Subgerencia de Desarrollo Ambiental,03/10/2020 19:00,0.00,0.00,117.31,0.00,137.26,27.61,7.21,100.10,0.00,95.79,-12.11,-77.05,100547.14,16.14
54,10069,150122,PE,Subgerencia de Desarrollo Ambiental,03/10/2020 5:00,0.00,0.00,85.41,0.00,68.04,21.08,7.19,70.93,0.00,99.30,-12.11,-77.05,100517.35,15.54
122,10069,150122,PE,Subgerencia de Desarrollo Ambiental,06/10/2020 3:00,0.00,0.00,81.80,0.00,84.61,14.72,7.17,77.30,0.00,98.45,-12.11,-77.05,100683.58,15.76
126,10069,150122,PE,Subgerencia de Desarrollo Ambiental,06/10/2020 7:00,0.00,0.00,100.85,0.00,76.09,17.58,7.31,99.27,0.10,99.09,-12.11,-77.05,100736.16,16.11
486,10069,150122,PE,Subgerencia de Desarrollo Ambiental,21/10/2020 18:00,0.00,0.00,130.51,0.00,109.66,18.51,7.46,109.56,0.10,86.67,-12.11,-77.05,100552.98,17.33
167,10069,150122,PE,Subgerencia de Desarrollo Ambiental,08/10/2020 7:00,29.65,0.00,112.00,0.00,68.86,18.73,7.30,93.13,0.08,96.84,-12.11,-77.05,100835.93,16.21
662,10069,150122,PE,Subgerencia de Desarrollo Ambiental,29/10/2020 2:00,0.00,0.00,86.50,0.00,42.39,11.10,7.18,87.68,0.00,95.37,-12.11,-77.05,1006.43,16.06
621,10069,150122,PE,Subgerencia de Desarrollo Ambiental,27/10/2020 9:00,0.00,0.00,68.28,0.00,33.59,10.74,7.71,99.99,1.10,97.12,-12.11,-77.05,100800.62,16.67
18,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 17:00,0.00,0.00,110.38,0.00,62.90,11.88,7.51,112.13,0.35,90.06,-12.11,-77.05,100458.60,17.25
653,10069,150122,PE,Subgerencia de Desarrollo Ambiental,28/10/2020 17:00,0.00,0.00,96.86,0.00,48.74,11.00,7.92,104.05,0.46,86.93,-12.11,-77.05,1005.28,18.15
669,10069,150122,PE,Subgerencia de Desarrollo Ambiental,29/10/2020 9:00,20.46,0.00,85.67,0.00,26.66,10.87,7.93,96.23,1.00,90.31,-12.11,-77.05,1008.53,18.06
277,10069,150122,PE,Subgerencia de Desarrollo Ambiental,13/10/2020 1:00,0.00,0.00,89.58,0.00,84.26,15.40,7.20,82.18,0.00,97.20,-12.11,-77.05,100469.91,15.94
226,10069,150122,PE,Subgerencia de Desarrollo Ambiental,10/10/2020 22:00,0.00,0.00,111.90,0.00,94.34,15.59,7.27,100.20,0.00,95.92,-12.11,-77.05,100856.91,16.56
629,10069,150122,PE,Subgerencia de Desarrollo Ambiental,27/10/2020 17:00,0.00,0.00,95.59,0.00,33.01,7.26,7.94,100.24,0.49,87.65,-12.11,-77.05,100563.07,18.21
296,10069,150122,PE,Subgerencia de Desarrollo Ambiental,13/10/2020 20:00,0.00,0.00,114.88,0.00,104.80,13.94,7.25,101.88,0.00,93.63,-12.11,-77.05,100614.96,16.46
129,10069,150122,PE,Subgerencia de Desarrollo Ambiental,06/10/2020 10:00,0.00,0.00,19.76,0.03,24.62,8.77,8.79,99.42,5.05,90.57,-12.11,-77.05,100755.72,18.31
